metric,pretrained,torque_ref_finetune,delta,pct_change
right_knee_load_proxy,0.0326416281426383,0.030051317758286598,-0.002590310384351705,-7.935604109673985
right_knee_pain_drive,0.0037222030553390683,0.001094502460940805,-0.0026277005943982634,-70.59530485928573
right_knee_pain_state,0.03707932598754456,0.0023282200571398434,-0.03475110593040472,-93.72097524663226
right_knee_positive_work,0.16392965967282078,0.06174274160472489,-0.10218691806809588,-62.335832497941965
right_knee_tau_abs,2.8209984445387555,3.127368003287643,0.3063695587488877,10.860323561751569
right_knee_tau_rms,5.495224939793656,5.664792454431927,0.16956751463827135,3.085724724575853
right_knee_tau_peak,21.162076146332257,19.664342820959746,-1.4977333253725114,-7.077440393919448
l_hip_mean_deg,-2.7248276068329567,-2.9652769173034157,-0.24044931047045903,-8.82438616914672
r_hip_mean_deg,-4.066337084267654,-4.316221378696029,-0.2498842944283748,-6.145193800955606
l_knee_mean_deg,13.924441932762797,10.774951947455394,-3.1494899853074028,-22.618428806808932
r_knee_mean_deg,15.138450975922881,15.761932394085587,0.6234814181627062,4.118528501722727
l_ankle_mean_deg,-8.193704032476306,-9.202008705663475,-1.008304673187169,-12.305846894038208
r_ankle_mean_deg,-7.577345007914257,-7.307161818601118,0.2701831893131388,3.565670944518726
l_hip_abs_deg,10.19215650824079,10.539527027190797,0.34737051895000626,3.408214136715252
r_hip_abs_deg,10.94741491659781,11.163708800794803,0.21629388419699325,1.9757530507870085
l_knee_abs_deg,14.126492649302422,13.459434436648337,-0.6670582126540854,-4.7220370208951
r_knee_abs_deg,16.11761222605237,18.005082283605784,1.887470057553415,11.710605957515993
l_ankle_abs_deg,8.65866211879279,10.06151154124307,1.402849422450279,16.20168801142534
r_ankle_abs_deg,8.3869643175586,9.11502021031334,0.7280558927547389,8.680803508732133
