metric,pretrained_mean,latest_mean,rmse_diff,pretrained_max,latest_max
pain_v1_right_knee_load,0.41348893,0.33714998,0.17784532,1.04219282,0.84461802
pain_v1_right_knee_state,1.73025755,1.15262489,0.68210505,3.00000000,1.99052894
pain_v1_right_knee_contact_load,0.45097173,0.43097393,0.15617342,0.98378187,1.19102120
pain_v1_right_knee_moment_load,0.35726469,0.19641404,0.28738852,1.30476952,0.98247087
pain_v1_right_knee_kam,0.29717222,0.16811120,0.27379834,1.18758523,0.52853853
pain_v1_right_knee_kfm,0.49748047,0.26245401,0.47316435,3.25531244,2.67830539
pain_v1_right_knee_compression,0.63617900,0.60992065,0.21698735,1.35810864,1.63750279
pain_v1_right_knee_loaded_flex,0.02723805,0.01905040,0.02846832,0.16058122,0.21239418
pain_v1_right_knee_torque_load,0.02687936,0.04090295,0.14622775,0.15622528,1.90426552
pain_v1_right_knee_tau_rms,2.93408376,3.39854525,5.13115360,17.35836411,57.90212250
