exp_name,metric,n,last_step,first100,tail100,last,interpretation
phc_shape_pnn_iccv_pain_v15_oa_sanity_idx3,rewards_mean,5082,68883,60.7678008,65.7677948,65.2834091,stable reward despite weak pain term
phc_shape_pnn_iccv_pain_v15_oa_sanity_idx3,episode_length,5082,68883,90.120798,91.8590947,91.9959335,stable gait rollout
phc_shape_pnn_iccv_pain_v15_oa_sanity_idx3,pain_reward_cost,5082,68883,0.0518262198,0.037424014,0.0358789265,weak pain cost decreased
phc_shape_pnn_iccv_pain_v15_oa_sanity_idx3,right_knee_load,5083,68884,0.337850055,0.289899752,0.296659678,OA load proxy decreased without visible gait change
phc_shape_pnn_iccv_pain_v15_oa_sanity_idx3,right_knee_moment_load,5083,68884,0.319613899,0.229158499,0.235566452,moment proxy decreased
phc_shape_pnn_iccv_pain_v15_oa_sanity_idx3,right_knee_kam,5083,68884,0.319203681,0.22648112,0.234149173,KAM proxy decreased
phc_shape_pnn_iccv_pain_v15_oa_sanity_idx3,right_knee_kfm,5083,68884,0.32057108,0.235405716,0.238873407,KFM proxy decreased
phc_shape_pnn_iccv_pain_v15_oa_sanity_idx3,right_knee_tau_rms,5083,68884,16.1985136,15.1469477,14.3102322,tau RMS decreased
phc_shape_pnn_iccv_pain_v15_oa_aggressive_idx3,rewards_mean,2415,66165,-183.158473,21.063189,21.9662857,recovered from severe initial penalty but learned cheat
phc_shape_pnn_iccv_pain_v15_oa_aggressive_idx3,episode_length,2415,66165,90.8672864,63.0908329,65.8739548,rollout quality degraded
phc_shape_pnn_iccv_pain_v15_oa_aggressive_idx3,pain_reward_cost,2415,66165,2.73977163,0.0924082766,0.0933499113,pain state strongly reduced
phc_shape_pnn_iccv_pain_v15_oa_aggressive_idx3,right_knee_load,2415,66165,0.333679586,0.00324223758,0.0024160801,knee load nearly eliminated by non-contact
phc_shape_pnn_iccv_pain_v15_oa_aggressive_idx3,right_knee_moment_load,2415,66165,0.326455883,0.00302504547,0.00218825182,moment proxy nearly eliminated by non-contact
phc_shape_pnn_iccv_pain_v15_oa_aggressive_idx3,right_knee_kam,2415,66165,0.326225458,0.00299549996,0.00215501781,KAM proxy nearly eliminated by non-contact
